Identifier,Site,Land_Use,Plot_Name,Subplot,Horizon,Soil_pH,Total_C,Total_N,Total_P,inorganic_P,C:N,Sand,Silt,Clay
SOP9,SAFE Project - Kalabakan Forest Reserve,Oil Palm,OP,9,Organic,5.72,5.33,0.36,2100.38,773.31,15.01,32.61,40.57,26.82
MB4,Maliau Basin Conservation Area,Unlogged,Belian,4,Mineral,4.06,1.15,0.08,171.28,5.32,13.62,21.76,15.64,62.6
MB7,Maliau Basin Conservation Area,Unlogged,Belian,7,Mineral,4.18,1.19,0.09,188.89,5.02,12.62,20.59,12.8,66.61
MB9,Maliau Basin Conservation Area,Unlogged,Belian,9,Mineral,3.75,1.46,0.1,144.82,7.18,14.4,32.91,15.7,51.39
MB18,Maliau Basin Conservation Area,Unlogged,Belian,18,Mineral,4.1,1.17,0.08,128.8,5.86,14.16,23.1,13.34,63.55
MB22,Maliau Basin Conservation Area,Unlogged,Belian,22,Mineral,3.86,1.26,0.09,136.8,7.15,14.77,20.39,18.08,61.53
MS3,Maliau Basin Conservation Area,Unlogged,Seraya,3,Mineral,4.36,1.06,0.09,191.45,5.44,11.26,23.87,17.17,58.96
MS14,Maliau Basin Conservation Area,Unlogged,Seraya,14,Mineral,3.79,1.07,0.08,150.97,4.82,13.26,25.62,21.28,53.1
MS15,Maliau Basin Conservation Area,Unlogged,Seraya,15,Mineral,3.82,1.05,0.07,127.95,5.65,14.19,24.64,24.94,50.42
MS18,Maliau Basin Conservation Area,Unlogged,Seraya,18,Mineral,3.82,1.26,0.09,146.93,6.57,14.39,26.82,18.84,54.34
MS25,Maliau Basin Conservation Area,Unlogged,Seraya,25,Mineral,3.92,1.34,0.09,142.68,6.64,15.1,24.65,17.74,57.61
DV16,Danum Valley Conservation Area,Unlogged,DV1,6,Mineral,6.15,1.1,0.06,434.31,1.48,18.48,29.81,26.54,43.66
DV17,Danum Valley Conservation Area,Unlogged,DV1,7,Mineral,6.01,0.92,0.04,491.11,1.14,21.4,28.95,27.11,43.94
DV19,Danum Valley Conservation Area,Unlogged,DV1,9,Mineral,5.65,1.1,0.05,398.07,1.25,20.81,26.97,25.14,47.89
DV122,Danum Valley Conservation Area,Unlogged,DV1,22,Mineral,5.02,1.47,0.08,414.68,2.26,18.19,29.65,25.6,44.74
DV124,Danum Valley Conservation Area,Unlogged,DV1,24,Mineral,5.64,1.15,0.06,306.13,3.96,19.94,24.23,19.37,56.4
DV21,Danum Valley Conservation Area,Unlogged,DV2,1,Mineral,4.46,0.92,0.05,183.88,4.16,17.7,23.93,25.06,51.01
DV28,Danum Valley Conservation Area,Unlogged,DV2,8,Mineral,4.97,1.11,0.05,171.72,2.83,20.63,25.31,28.05,46.64
DV220,Danum Valley Conservation Area,Unlogged,DV2,20,Mineral,4.84,1.02,0.06,160.84,2.65,18.18,26.61,27.35,46.04
DV223,Danum Valley Conservation Area,Unlogged,DV2,23,Mineral,5,0.98,0.05,134.43,4.04,18.33,26.22,22.84,50.95
DV224,Danum Valley Conservation Area,Unlogged,DV2,24,Mineral,4.54,0.83,0.05,149.36,3.46,17.78,26.51,24.4,49.09
SBN12,SAFE Project - Kalabakan Forest Reserve,Logged,B North,12,Mineral,3.68,1.51,0.06,112.55,7.78,25.37,25.83,11.45,62.73
SBN18,SAFE Project - Kalabakan Forest Reserve,Logged,B North,18,Mineral,3.85,1.43,0.07,131.36,6.36,21.71,27.54,16.34,56.11
SBN22,SAFE Project - Kalabakan Forest Reserve,Logged,B North,22,Mineral,4.28,1.11,0.05,124.71,6.23,23.88,22.39,14.69,62.92
SBN24,SAFE Project - Kalabakan Forest Reserve,Logged,B North,24,Mineral,4.03,1.82,0.1,193.91,7.73,19.09,31.29,17.09,51.62
SBN25,SAFE Project - Kalabakan Forest Reserve,Logged,B North,25,Mineral,4.02,1.51,0.08,148.75,3.71,19.7,34.2,20.75,45.05
SBS1,SAFE Project - Kalabakan Forest Reserve,Logged,B South,1,Mineral,5.06,2,0.19,236.89,7.65,10.79,24.43,19,56.56
SBS6,SAFE Project - Kalabakan Forest Reserve,Logged,B South,6,Mineral,3.85,1.74,0.19,200.14,8.88,9.17,35.03,16.27,48.7
SBS15,SAFE Project - Kalabakan Forest Reserve,Logged,B South,15,Mineral,4.29,2.01,0.11,224.65,4.38,18.67,26.13,13.01,60.86
SBS18,SAFE Project - Kalabakan Forest Reserve,Logged,B South,18,Mineral,4.91,1.49,0.06,177.81,9.61,25.58,29.02,14.77,56.21
SBS19,SAFE Project - Kalabakan Forest Reserve,Logged,B South,19,Mineral,3.99,1.54,0.08,156.53,7.08,18.47,34.78,25.71,39.51
SE3,SAFE Project - Kalabakan Forest Reserve,Logged,E,3,Mineral,3.87,1.36,0.06,136.64,10.86,22.6,20.25,8.3,71.45
SE6,SAFE Project - Kalabakan Forest Reserve,Logged,E,6,Mineral,3.85,1.63,0.08,147.19,9.94,21.48,19.27,9.69,71.04
SE12,SAFE Project - Kalabakan Forest Reserve,Logged,E,12,Mineral,3.63,1.45,0.06,126.02,9.32,23.74,20.14,8.26,71.6
SE20,SAFE Project - Kalabakan Forest Reserve,Logged,E,20,Mineral,3.68,1.7,0.06,98.69,10.5,27.5,18.01,8.09,73.9
SE24,SAFE Project - Kalabakan Forest Reserve,Logged,E,24,Mineral,3.7,1.32,0.07,100.74,8.94,18.36,20.7,6.9,72.4
SLF4,SAFE Project - Kalabakan Forest Reserve,Logged,LF,4,Mineral,3.73,2.4,0.07,71.88,16.97,36.8,7.55,17.21,75.24
SLF7,SAFE Project - Kalabakan Forest Reserve,Logged,LF,7,Mineral,4.23,1.77,0.06,52.62,12.7,30.95,8.5,17,74.49
SLF12,SAFE Project - Kalabakan Forest Reserve,Logged,LF,12,Mineral,3.37,1.55,0.06,85.47,14.02,26.86,11.1,27.09,61.81
SLF13,SAFE Project - Kalabakan Forest Reserve,Logged,LF,13,Mineral,3.42,1.85,0.06,95.7,16.14,31.13,11.75,27,61.25
SLF24,SAFE Project - Kalabakan Forest Reserve,Logged,LF,24,Mineral,3.71,1.89,0.07,126.09,7.81,28.46,23.8,17.9,58.3
SOP1,SAFE Project - Kalabakan Forest Reserve,Oil Palm,OP,1,Mineral,4.46,0.69,0.05,262.66,23.94,13.15,31.97,33.78,34.26
SOP2,SAFE Project - Kalabakan Forest Reserve,Oil Palm,OP,2,Mineral,4.72,1.07,0.07,516.02,107.33,14.77,32.54,36.56,30.9
SOP6,SAFE Project - Kalabakan Forest Reserve,Oil Palm,OP,6,Mineral,4.63,1,0.07,547.63,73.79,13.87,37.97,32.5,29.53
SOP8,SAFE Project - Kalabakan Forest Reserve,Oil Palm,OP,8,Mineral,4.45,0.65,0.05,215,4.5,12.18,37.32,36.01,26.67
SOP9,SAFE Project - Kalabakan Forest Reserve,Oil Palm,OP,9,Mineral,4.63,0.9,0.05,713.9,226.6,19.27,32.58,34.05,33.38
