ID,path,name,make,model,is_animal,date,time,mega,Marco,Marco_sub
DGFC_20,/var/home/akin/Untitled Folder/web_app/sep_pics/1/animals/anno_image21.jpg,anno_image21.jpg,RECONYX,PC800 PROFESSIONAL, True,2015-06-28,02:07:00,"Animal, prob = 0.999","Animal, prob =0.9992","bushbuck, prob =0.2026"
DGFC_21,/var/home/akin/Untitled Folder/web_app/sep_pics/1/animals/anno_image22.jpg,anno_image22.jpg,RECONYX,PC800 PROFESSIONAL, True,2015-06-28,02:07:01,"Animal, prob = 0.999","Animal, prob =0.9811","monkeybaboon, prob =0.1556"
DGFC_22,/var/home/akin/Untitled Folder/web_app/sep_pics/1/animals/anno_image23.jpg,anno_image23.jpg,RECONYX,PC800 PROFESSIONAL, True,2015-06-28,17:23:35,"Animal, prob = 0.999","Animal, prob =0.9949","HUMAN, prob =0.4617"
DGFC_23,/var/home/akin/Untitled Folder/web_app/sep_pics/1/animals/anno_image24.jpg,anno_image24.jpg,RECONYX,PC800 PROFESSIONAL, True,2015-06-28,17:23:37,"Animal, prob = 0.999","Animal, prob =0.9811","wildebeest, prob =0.3791"
DGFC_24,/var/home/akin/Untitled Folder/web_app/sep_pics/1/animals/anno_image25.jpg,anno_image25.jpg,RECONYX,PC800 PROFESSIONAL, True,2015-06-28,17:23:38,"Animal, prob = 0.999","Animal, prob =0.9861","warthog, prob =0.4347"
DGFC_25,/var/home/akin/Untitled Folder/web_app/sep_pics/1/animals/anno_image27.jpg,anno_image27.jpg,RECONYX,PC800 PROFESSIONAL, True,2015-06-30,06:06:01,"Animal, prob = 0.999","Animal, prob =0.9978","giraffe, prob =0.6816"
DGFC_26,/var/home/akin/Untitled Folder/web_app/sep_pics/1/animals/anno_image28.jpg,anno_image28.jpg,RECONYX,PC800 PROFESSIONAL, True,2015-06-30,06:06:02,"Animal, prob = 0.999","Animal, prob =0.9766","giraffe, prob =0.6729"
DGFC_27,/var/home/akin/Untitled Folder/web_app/sep_pics/1/animals/anno_image30.jpg,anno_image30.jpg,RECONYX,PC800 PROFESSIONAL, True,2015-02-04,16:01:39,"Animal, prob = 0.999","Animal, prob =0.9867","warthog, prob =0.2638"
DGFC_28,/var/home/akin/Untitled Folder/web_app/sep_pics/1/animals/anno_image31.jpg,anno_image31.jpg,RECONYX,PC800 PROFESSIONAL, True,2015-02-04,16:01:50,"Animal, prob = 0.982","blank, prob =0.9468","impala, prob =0.2906"
DGFC_29,/var/home/akin/Untitled Folder/web_app/sep_pics/1/animals/anno_image32.jpg,anno_image32.jpg,RECONYX,PC800 PROFESSIONAL, True,2015-02-04,16:01:52,"Animal, prob = 0.996","blank, prob =0.9528","impala, prob =0.3274"
DGFC_30,/var/home/akin/Untitled Folder/web_app/sep_pics/1/animals/anno_image33.jpg,anno_image33.jpg,RECONYX,PC800 PROFESSIONAL, True,2015-06-04,02:49:56,"Animal, prob = 0.999","Animal, prob =0.8693","waterbuck, prob =0.1589"
DGFC_31,/var/home/akin/Untitled Folder/web_app/sep_pics/1/humans/image67.jpg,image67.jpg,RECONYX,PC800 PROFESSIONAL, Human,2015-08-05,09:47:48,"Human, prob = 0.999","vehicle, prob =0.8490","monkeybaboon, prob =0.3092"
DGFC_32,/var/home/akin/Untitled Folder/web_app/sep_pics/1/humans/image68.jpg,image68.jpg,RECONYX,PC800 PROFESSIONAL, Human,2015-08-05,09:47:49,"Human, prob = 0.999","vehicle, prob =0.7502","warthog, prob =0.3426"
DGFC_33,/var/home/akin/Untitled Folder/web_app/sep_pics/1/humans/image69.jpg,image69.jpg,RECONYX,PC800 PROFESSIONAL, Human,2015-08-05,09:47:50,"Human, prob = 0.999","vehicle, prob =0.8561","bird, prob =0.3042"
DGFC_34,/var/home/akin/Untitled Folder/web_app/sep_pics/1/humans/image70.jpg,image70.jpg,RECONYX,PC800 PROFESSIONAL, Human,2015-08-05,09:47:53,"Human, prob = 0.999","Animal, prob =0.9986","warthog, prob =0.5010"
